"Figure 1: Around 1.7 million people reported working mainly from home",""
"Number of people working at or near home in the UK, January to December 2019",""
"",""
"Notes",""
"Unit","Thousands"
"",""
"","Total"
"Mainly work - own home","1658"
"Work at home in the week prior to interview","4038"
"Ever work at home ","8690"
"Mainly work - same grounds or buildings or home as base","2948"
